LDMC_trans,LMA_trans,CHL_trans,Model,AIC,R2,Singular_fit
identity,identity,identity,Random Intercept,-442.1440932,0.821651529,FALSE
identity,identity,identity,Random Slope,-452.203658,0.814194587,TRUE
identity,identity,identity,Random Slope + Intercept,-457.6165224,0.94892921,FALSE
log,identity,identity,Random Intercept,-453.2150897,0.836305485,FALSE
log,identity,identity,Random Slope,-460.0892856,0.793277571,TRUE
log,identity,identity,Random Slope + Intercept,-462.5706185,0.932835083,TRUE
sqrt,identity,identity,Random Intercept,-449.159475,0.831231427,FALSE
sqrt,identity,identity,Random Slope,-457.6751361,0.804514495,TRUE
sqrt,identity,identity,Random Slope + Intercept,-462.6717451,0.961547904,TRUE
inv,identity,identity,Random Intercept,-463.2682623,0.833499324,FALSE
inv,identity,identity,Random Slope,-467.080225,0.768568328,TRUE
inv,identity,identity,Random Slope + Intercept,-472.4256529,0.962557662,TRUE
inv_sqrt,identity,identity,Random Intercept,-459.7740087,0.836874161,FALSE
inv_sqrt,identity,identity,Random Slope,-465.0477214,0.781101425,TRUE
inv_sqrt,identity,identity,Random Slope + Intercept,-470.4861547,0.969149228,TRUE
sq,identity,identity,Random Intercept,-429.3762636,0.792168377,FALSE
sq,identity,identity,Random Slope,-437.7958702,0.972229877,FALSE
sq,identity,identity,Random Slope + Intercept,-436.0172091,0.981819451,TRUE
cub,identity,identity,Random Intercept,-417.5089667,0.758011372,FALSE
cub,identity,identity,Random Slope,-415.6958306,0.99982269,TRUE
cub,identity,identity,Random Slope + Intercept,-409.9830098,0.999895294,TRUE
identity,log,identity,Random Intercept,-448.9525382,0.848574381,FALSE
identity,log,identity,Random Slope,-458.0102872,0.826415702,TRUE
identity,log,identity,Random Slope + Intercept,-461.3766558,0.924620773,FALSE
log,log,identity,Random Intercept,-460.7077148,0.863314331,FALSE
log,log,identity,Random Slope,-466.5422459,0.81047165,TRUE
log,log,identity,Random Slope + Intercept,-468.0065385,0.936857392,TRUE
sqrt,log,identity,Random Intercept,-456.3418992,0.858170433,FALSE
sqrt,log,identity,Random Slope,-463.8168412,0.81929518,TRUE
sqrt,log,identity,Random Slope + Intercept,-468.2650014,0.967043865,FALSE
inv,log,identity,Random Intercept,-471.0545088,0.860796361,FALSE
inv,log,identity,Random Slope,-473.9858153,0.789395741,FALSE
inv,log,identity,Random Slope + Intercept,-477.712352,0.968542558,TRUE
inv_sqrt,log,identity,Random Intercept,-467.4732581,0.86402593,FALSE
inv_sqrt,log,identity,Random Slope,-471.761832,0.800426239,TRUE
inv_sqrt,log,identity,Random Slope + Intercept,-475.6930657,0.968778301,TRUE
sq,log,identity,Random Intercept,-435.4281757,0.818740219,FALSE
sq,log,identity,Random Slope,-446.8747914,0.84710895,TRUE
sq,log,identity,Random Slope + Intercept,-448.6140306,0.957988171,TRUE
cub,log,identity,Random Intercept,-422.9722028,0.783074567,FALSE
cub,log,identity,Random Slope,-432.1035794,0.97878104,TRUE
cub,log,identity,Random Slope + Intercept,-426.9573533,0.861822035,TRUE
identity,sqrt,identity,Random Intercept,-446.9899982,0.836848697,FALSE
identity,sqrt,identity,Random Slope,-455.7067666,0.800404694,FALSE
identity,sqrt,identity,Random Slope + Intercept,-457.2873513,0.87956163,FALSE
log,sqrt,identity,Random Intercept,-458.4025418,0.851520368,FALSE
log,sqrt,identity,Random Slope,-464.8712767,0.803020623,TRUE
log,sqrt,identity,Random Slope + Intercept,-468.444725,0.954045901,TRUE
sqrt,sqrt,identity,Random Intercept,-454.1939616,0.846445617,FALSE
sqrt,sqrt,identity,Random Slope,-462.3182572,0.813028387,TRUE
sqrt,sqrt,identity,Random Slope + Intercept,-467.4245991,0.968715587,TRUE
inv,sqrt,identity,Random Intercept,-468.5883258,0.848680295,FALSE
inv,sqrt,identity,Random Slope,-472.0402893,0.780001691,FALSE
inv,sqrt,identity,Random Slope + Intercept,-475.4261102,0.937933496,TRUE
inv_sqrt,sqrt,identity,Random Intercept,-465.0589223,0.852088029,FALSE
inv_sqrt,sqrt,identity,Random Slope,-469.9379654,0.791894889,FALSE
inv_sqrt,sqrt,identity,Random Slope + Intercept,-474.5972531,0.969253642,TRUE
sq,sqrt,identity,Random Intercept,-433.834485,0.807041116,FALSE
sq,sqrt,identity,Random Slope,-440.2950077,0.992376324,TRUE
sq,sqrt,identity,Random Slope + Intercept,-443.1118023,0.842322488,TRUE
cub,sqrt,identity,Random Intercept,-421.6634887,0.771860076,FALSE
cub,sqrt,identity,Random Slope,-413.5550168,0.99999132,TRUE
cub,sqrt,identity,Random Slope + Intercept,-421.3205533,0.970916875,TRUE
identity,inv,identity,Random Intercept,-454.7226721,0.861418884,FALSE
identity,inv,identity,Random Slope,-461.9090428,0.819968644,FALSE
identity,inv,identity,Random Slope + Intercept,-457.2499083,0.837316942,TRUE
log,inv,identity,Random Intercept,-467.0409277,0.87651303,FALSE
log,inv,identity,Random Slope,-471.3015606,0.8177696,TRUE
log,inv,identity,Random Slope + Intercept,-469.0460632,0.89212207,TRUE
sqrt,inv,identity,Random Intercept,-462.4020564,0.871053479,FALSE
sqrt,inv,identity,Random Slope,-468.1941123,0.824775736,FALSE
sqrt,inv,identity,Random Slope + Intercept,-464.8906349,0.871669341,TRUE
inv,inv,identity,Random Intercept,-477.7723338,0.875349687,FALSE
inv,inv,identity,Random Slope,-479.477079,0.800273924,FALSE
inv,inv,identity,Random Slope + Intercept,-481.7142036,0.967767957,TRUE
inv_sqrt,inv,identity,Random Intercept,-474.0332046,0.877809165,FALSE
inv_sqrt,inv,identity,Random Slope,-476.9015846,0.80977994,TRUE
inv_sqrt,inv,identity,Random Slope + Intercept,-479.3696033,0.96581525,TRUE
sq,inv,identity,Random Intercept,-440.6631614,0.832019106,FALSE
sq,inv,identity,Random Slope,-450.1203239,0.82449483,TRUE
sq,inv,identity,Random Slope + Intercept,-441.4401429,0.955196771,TRUE
cub,inv,identity,Random Intercept,-427.8030769,0.796497952,FALSE
cub,inv,identity,Random Slope,-435.9054093,0.77396925,TRUE
cub,inv,identity,Random Slope + Intercept,-421.6845903,0.997466814,TRUE
identity,inv_sqrt,identity,Random Intercept,-453.4221532,0.856724137,FALSE
identity,inv_sqrt,identity,Random Slope,-461.6470426,0.829090775,TRUE
identity,inv_sqrt,identity,Random Slope + Intercept,-458.6552142,0.839197962,TRUE
log,inv_sqrt,identity,Random Intercept,-465.4897023,0.871601678,FALSE
log,inv_sqrt,identity,Random Slope,-470.5524957,0.815520996,TRUE
log,inv_sqrt,identity,Random Slope + Intercept,-474.0163891,0.966097345,TRUE
sqrt,inv_sqrt,identity,Random Intercept,-460.9756488,0.866326923,FALSE
sqrt,inv_sqrt,identity,Random Slope,-467.6370155,0.823135827,TRUE
sqrt,inv_sqrt,identity,Random Slope + Intercept,-463.7784985,0.859216024,TRUE
inv,inv_sqrt,identity,Random Intercept,-476.0223162,0.869670758,FALSE
inv,inv_sqrt,identity,Random Slope,-478.3419447,0.7966682,FALSE
inv,inv_sqrt,identity,Random Slope + Intercept,-481.2205327,0.96056398,TRUE
inv_sqrt,inv_sqrt,identity,Random Intercept,-472.3702906,0.872566864,FALSE
inv_sqrt,inv_sqrt,identity,Random Slope,-475.9552487,0.806539185,FALSE
inv_sqrt,inv_sqrt,identity,Random Slope + Intercept,-479.1702337,0.967650842,TRUE
sq,inv_sqrt,identity,Random Intercept,-439.5856962,0.827047038,FALSE
sq,inv_sqrt,identity,Random Slope,-449.6641291,0.900863998,FALSE
sq,inv_sqrt,identity,Random Slope + Intercept,-443.6575682,0.86520349,FALSE
cub,inv_sqrt,identity,Random Intercept,-426.8922102,0.791320068,FALSE
cub,inv_sqrt,identity,Random Slope,-432.9532127,0.992984182,TRUE
cub,inv_sqrt,identity,Random Slope + Intercept,-428.3960488,0.969782767,TRUE
identity,sq,identity,Random Intercept,-434.0663022,0.782886017,FALSE
identity,sq,identity,Random Slope,-442.9913105,0.744801058,FALSE
identity,sq,identity,Random Slope + Intercept,-450.5679807,0.966214199,FALSE
log,sq,identity,Random Intercept,-444.5459064,0.797558418,FALSE
log,sq,identity,Random Slope,-451.399988,0.768096148,TRUE
log,sq,identity,Random Slope + Intercept,-458.4114099,0.970422686,TRUE
sqrt,sq,identity,Random Intercept,-440.7497471,0.792282453,FALSE
sqrt,sq,identity,Random Slope,-449.1180942,0.781546666,TRUE
sqrt,sq,identity,Random Slope + Intercept,-456.0173997,0.970651563,TRUE
inv,sq,identity,Random Intercept,-454.404123,0.796111574,FALSE
inv,sq,identity,Random Slope,-458.3579572,0.740227139,TRUE
inv,sq,identity,Random Slope + Intercept,-462.7416555,0.905442429,TRUE
inv_sqrt,sq,identity,Random Intercept,-450.9508248,0.798652157,FALSE
inv_sqrt,sq,identity,Random Slope,-456.303641,0.754047875,TRUE
inv_sqrt,sq,identity,Random Slope + Intercept,-463.4318835,0.968906621,TRUE
sq,sq,identity,Random Intercept,-422.0020508,0.75528494,FALSE
sq,sq,identity,Random Slope,-433.5810053,0.867118268,TRUE
sq,sq,identity,Random Slope + Intercept,-440.1888014,0.957135826,TRUE
cub,sq,identity,Random Intercept,-410.6950251,0.724977889,FALSE
cub,sq,identity,Random Slope,-416.7719462,0.991883956,TRUE
cub,sq,identity,Random Slope + Intercept,-413.691437,0.998304009,TRUE
identity,cub,identity,Random Intercept,-427.4182778,0.739429728,FALSE
identity,cub,identity,Random Slope,-435.8248268,0.76647526,TRUE
identity,cub,identity,Random Slope + Intercept,-442.9112167,0.964709114,FALSE
log,cub,identity,Random Intercept,-437.4817945,0.754030574,FALSE
log,cub,identity,Random Slope,-443.4339958,0.737860083,TRUE
log,cub,identity,Random Slope + Intercept,-449.7460308,0.93527279,TRUE
sqrt,cub,identity,Random Intercept,-433.8675861,0.748372633,FALSE
sqrt,cub,identity,Random Slope,-441.0893895,0.75256561,TRUE
sqrt,cub,identity,Random Slope + Intercept,-448.4204681,0.962139109,TRUE
inv,cub,identity,Random Intercept,-447.2003486,0.755386129,FALSE
inv,cub,identity,Random Slope,-450.692524,0.708780634,FALSE
inv,cub,identity,Random Slope + Intercept,-455.1721024,0.906951999,TRUE
inv_sqrt,cub,identity,Random Intercept,-443.7782209,0.756234062,FALSE
inv_sqrt,cub,identity,Random Slope,-448.464353,0.723132362,TRUE
inv_sqrt,cub,identity,Random Slope + Intercept,-452.8542752,0.915245258,TRUE
sq,cub,identity,Random Intercept,-415.8562828,0.715244956,FALSE
sq,cub,identity,Random Slope,-425.910447,0.790638931,TRUE
sq,cub,identity,Random Slope + Intercept,-432.6010157,0.985938076,TRUE
cub,cub,identity,Random Intercept,-404.9523712,0.690553157,FALSE
cub,cub,identity,Random Slope,-407.3524859,0.996607096,TRUE
cub,cub,identity,Random Slope + Intercept,-409.0093852,0.999379116,TRUE
identity,identity,log,Random Intercept,-450.3144438,0.813826057,FALSE
identity,identity,log,Random Slope,-461.7759472,0.81338778,TRUE
identity,identity,log,Random Slope + Intercept,-468.0567467,0.961671159,FALSE
log,identity,log,Random Intercept,-461.1949319,0.826879491,FALSE
log,identity,log,Random Slope,-469.129578,0.790757361,TRUE
log,identity,log,Random Slope + Intercept,-475.4234355,0.970020197,TRUE
sqrt,identity,log,Random Intercept,-457.2420709,0.822687503,FALSE
sqrt,identity,log,Random Slope,-466.982413,0.803289133,TRUE
sqrt,identity,log,Random Slope + Intercept,-472.5657421,0.961903855,TRUE
inv,identity,log,Random Intercept,-471.0554618,0.821996306,FALSE
inv,identity,log,Random Slope,-475.6506023,0.763288808,TRUE
inv,identity,log,Random Slope + Intercept,-481.7009709,0.950694735,TRUE
inv_sqrt,identity,log,Random Intercept,-467.6505689,0.826438013,FALSE
inv_sqrt,identity,log,Random Slope,-473.8371367,0.777198639,FALSE
inv_sqrt,identity,log,Random Slope + Intercept,-480.1960523,0.969885066,TRUE
sq,identity,log,Random Intercept,-437.6478329,0.785282193,FALSE
sq,identity,log,Random Slope,-451.6691238,0.832578694,TRUE
sq,identity,log,Random Slope + Intercept,-449.5537323,0.905837958,TRUE
cub,identity,log,Random Intercept,-425.7959026,0.751478191,FALSE
cub,identity,log,Random Slope,-425.6255908,0.999893606,TRUE
cub,identity,log,Random Slope + Intercept,-432.7133806,0.956080882,TRUE
identity,log,log,Random Intercept,-457.6693986,0.844587259,FALSE
identity,log,log,Random Slope,-466.8226719,0.804231545,TRUE
identity,log,log,Random Slope + Intercept,-471.2077962,0.934613211,FALSE
log,log,log,Random Intercept,-469.2407568,0.858055406,FALSE
log,log,log,Random Slope,-476.1825475,0.808292106,TRUE
log,log,log,Random Slope + Intercept,-477.8360966,0.936748341,TRUE
sqrt,log,log,Random Intercept,-464.9801726,0.853631654,FALSE
sqrt,log,log,Random Slope,-473.684578,0.818031726,TRUE
sqrt,log,log,Random Slope + Intercept,-478.4310908,0.967413584,FALSE
inv,log,log,Random Intercept,-479.3570881,0.853673292,FALSE
inv,log,log,Random Slope,-483.1742209,0.785635152,FALSE
inv,log,log,Random Slope + Intercept,-486.1373493,0.96063647,TRUE
inv_sqrt,log,log,Random Intercept,-475.8885984,0.857891954,FALSE
inv_sqrt,log,log,Random Slope,-481.1710858,0.797537637,TRUE
inv_sqrt,log,log,Random Slope + Intercept,-485.591439,0.969224348,TRUE
sq,log,log,Random Intercept,-444.2062238,0.815359496,FALSE
sq,log,log,Random Slope,-454.5352608,0.935099687,FALSE
sq,log,log,Random Slope + Intercept,-451.7410359,0.921945404,TRUE
cub,log,log,Random Intercept,-431.7196036,0.779685439,FALSE
cub,log,log,Random Slope,-431.7482228,0.999724802,TRUE
cub,log,log,Random Slope + Intercept,-437.0461657,0.897257843,TRUE
identity,sqrt,log,Random Intercept,-455.4397533,0.831226077,FALSE
identity,sqrt,log,Random Slope,-466.0569862,0.786501899,TRUE
identity,sqrt,log,Random Slope + Intercept,-468.0324556,0.884833656,FALSE
log,sqrt,log,Random Intercept,-466.6613029,0.844467089,FALSE
log,sqrt,log,Random Slope,-474.2429307,0.800845679,TRUE
log,sqrt,log,Random Slope + Intercept,-478.2154351,0.95426897,TRUE
sqrt,sqrt,log,Random Intercept,-462.5588102,0.840195178,FALSE
sqrt,sqrt,log,Random Slope,-471.9429385,0.811934269,TRUE
sqrt,sqrt,log,Random Slope + Intercept,-477.4738492,0.969069847,TRUE
inv,sqrt,log,Random Intercept,-476.6319276,0.839621325,FALSE
inv,sqrt,log,Random Slope,-480.9364554,0.7749808,TRUE
inv,sqrt,log,Random Slope + Intercept,-486.289875,0.966947207,TRUE
inv_sqrt,sqrt,log,Random Intercept,-473.2051582,0.844079733,FALSE
inv_sqrt,sqrt,log,Random Slope,-479.0614833,0.788603143,TRUE
inv_sqrt,sqrt,log,Random Slope + Intercept,-484.4028616,0.969768994,TRUE
sq,sqrt,log,Random Intercept,-442.3671455,0.802153911,FALSE
sq,sqrt,log,Random Slope,-454.9973217,0.870634442,TRUE
sq,sqrt,log,Random Slope + Intercept,-458.3595576,0.902477426,TRUE
cub,sqrt,log,Random Intercept,-430.1885127,0.767091259,FALSE
cub,sqrt,log,Random Slope,-433.2011514,0.999148462,TRUE
cub,sqrt,log,Random Slope + Intercept,-433.4546267,0.986961716,TRUE
identity,inv,log,Random Intercept,-463.8274424,0.859148687,FALSE
identity,inv,log,Random Slope,-472.2871719,0.83354661,FALSE
identity,inv,log,Random Slope + Intercept,-467.3281558,0.843392579,TRUE
log,inv,log,Random Intercept,-475.9878383,0.873236486,FALSE
log,inv,log,Random Slope,-481.2303948,0.814871033,TRUE
log,inv,log,Random Slope + Intercept,-478.9741649,0.890858141,TRUE
sqrt,inv,log,Random Intercept,-471.4437341,0.868348381,FALSE
sqrt,inv,log,Random Slope,-478.2867993,0.824895396,FALSE
sqrt,inv,log,Random Slope + Intercept,-475.0448105,0.871050486,TRUE
inv,inv,log,Random Intercept,-486.485799,0.870546935,FALSE
inv,inv,log,Random Slope,-489.0576408,0.796901131,FALSE
inv,inv,log,Random Slope + Intercept,-491.5517716,0.960147883,TRUE
inv_sqrt,inv,log,Random Intercept,-482.8651484,0.873827071,FALSE
inv_sqrt,inv,log,Random Slope,-486.6578809,0.806143705,FALSE
inv_sqrt,inv,log,Random Slope + Intercept,-489.3808647,0.966085553,FALSE
sq,inv,log,Random Intercept,-449.7946755,0.830179776,FALSE
sq,inv,log,Random Slope,-459.7575672,0.908965022,FALSE
sq,inv,log,Random Slope + Intercept,-452.3776284,0.938809413,TRUE
cub,inv,log,Random Intercept,-436.8744743,0.794609621,FALSE
cub,inv,log,Random Slope,-445.817505,0.803615851,TRUE
cub,inv,log,Random Slope + Intercept,-433.7120883,0.994648418,TRUE
identity,inv_sqrt,log,Random Intercept,-462.3648281,0.853830765,FALSE
identity,inv_sqrt,log,Random Slope,-471.8128038,0.819674,FALSE
identity,inv_sqrt,log,Random Slope + Intercept,-465.8313538,0.853814744,TRUE
log,inv_sqrt,log,Random Intercept,-474.2608522,0.86757835,FALSE
log,inv_sqrt,log,Random Slope,-480.380215,0.812914034,TRUE
log,inv_sqrt,log,Random Slope + Intercept,-477.9985989,0.880581905,TRUE
sqrt,inv_sqrt,log,Random Intercept,-469.8477273,0.862945258,FALSE
sqrt,inv_sqrt,log,Random Slope,-477.6605543,0.821570347,TRUE
sqrt,inv_sqrt,log,Random Slope + Intercept,-473.8971974,0.85812876,TRUE
inv,inv_sqrt,log,Random Intercept,-484.5569889,0.863953186,FALSE
inv,inv_sqrt,log,Random Slope,-487.7634234,0.792886877,TRUE
inv,inv_sqrt,log,Random Slope + Intercept,-491.1857885,0.967369112,TRUE
inv_sqrt,inv_sqrt,log,Random Intercept,-481.0231387,0.867755684,FALSE
inv_sqrt,inv_sqrt,log,Random Slope,-485.5789286,0.803308306,TRUE
inv_sqrt,inv_sqrt,log,Random Slope + Intercept,-489.1425258,0.967689382,TRUE
sq,inv_sqrt,log,Random Intercept,-448.5693689,0.824677659,FALSE
sq,inv_sqrt,log,Random Slope,-458.1913387,0.963903462,TRUE
sq,inv_sqrt,log,Random Slope + Intercept,-454.3326422,0.856337499,TRUE
cub,inv_sqrt,log,Random Intercept,-435.8266336,0.788886377,FALSE
cub,inv_sqrt,log,Random Slope,-437.7334622,0.998816431,TRUE
cub,inv_sqrt,log,Random Slope + Intercept,-433.4754255,0.993581702,TRUE
identity,sq,log,Random Intercept,-441.7475532,0.769331102,FALSE
identity,sq,log,Random Slope,-452.6723228,0.792669658,TRUE
identity,sq,log,Random Slope + Intercept,-459.0276947,0.955392288,TRUE
log,sq,log,Random Intercept,-452.0604023,0.782071623,FALSE
log,sq,log,Random Slope,-459.7121381,0.763787499,TRUE
log,sq,log,Random Slope + Intercept,-468.0476881,0.970245641,FALSE
sqrt,sq,log,Random Intercept,-448.3499686,0.77778517,FALSE
sqrt,sq,log,Random Slope,-457.6776189,0.778961904,TRUE
sqrt,sq,log,Random Slope + Intercept,-465.7373491,0.971649228,TRUE
inv,sq,log,Random Intercept,-461.7785294,0.778748032,FALSE
inv,sq,log,Random Slope,-466.2954866,0.732581499,FALSE
inv,sq,log,Random Slope + Intercept,-473.1741851,0.915327774,TRUE
inv_sqrt,sq,log,Random Intercept,-458.3867581,0.782183527,FALSE
inv_sqrt,sq,log,Random Slope,-464.4054883,0.748041116,FALSE
inv_sqrt,sq,log,Random Slope + Intercept,-471.5088135,0.928152571,TRUE
sq,sq,log,Random Intercept,-429.7983649,0.743366395,FALSE
sq,sq,log,Random Slope,-442.9492093,0.817404428,TRUE
sq,sq,log,Random Slope + Intercept,-450.6590803,0.973320675,TRUE
cub,sq,log,Random Intercept,-418.5379047,0.714259354,FALSE
cub,sq,log,Random Slope,-424.2823502,0.99761294,TRUE
cub,sq,log,Random Slope + Intercept,-426.1274021,0.99533815,TRUE
identity,cub,log,Random Intercept,-434.797543,0.719995353,FALSE
identity,cub,log,Random Slope,-442.4334822,0.68924541,FALSE
identity,cub,log,Random Slope + Intercept,-452.6162786,0.977166385,TRUE
log,cub,log,Random Intercept,-444.7338771,0.732410913,FALSE
log,cub,log,Random Slope,-451.1343988,0.731002411,TRUE
log,cub,log,Random Slope + Intercept,-456.090159,0.919284837,TRUE
sqrt,cub,log,Random Intercept,-441.1833662,0.72776082,FALSE
sqrt,cub,log,Random Slope,-448.9682677,0.747626145,TRUE
sqrt,cub,log,Random Slope + Intercept,-457.7588855,0.959109467,TRUE
inv,cub,log,Random Intercept,-454.3558799,0.732473858,FALSE
inv,cub,log,Random Slope,-458.1677375,0.699461704,TRUE
inv,cub,log,Random Slope + Intercept,-464.1900347,0.90459767,TRUE
inv_sqrt,cub,log,Random Intercept,-450.974798,0.733834168,FALSE
inv_sqrt,cub,log,Random Slope,-456.0300617,0.714647774,TRUE
inv_sqrt,cub,log,Random Slope + Intercept,-461.6092826,0.912504415,TRUE
sq,cub,log,Random Intercept,-423.3346435,0.698379842,FALSE
sq,cub,log,Random Slope,-434.6219458,0.790145584,TRUE
sq,cub,log,Random Slope + Intercept,-436.7134395,0.998812383,TRUE
cub,cub,log,Random Intercept,-412.4809571,0.676000806,FALSE
cub,cub,log,Random Slope,-409.4344357,0.999922268,TRUE
cub,cub,log,Random Slope + Intercept,-417.3467671,0.999487887,TRUE
identity,identity,sqrt,Random Intercept,-448.6364926,0.820810927,FALSE
identity,identity,sqrt,Random Slope,-459.2620025,0.81314392,TRUE
identity,identity,sqrt,Random Slope + Intercept,-465.1652045,0.963994011,TRUE
log,identity,sqrt,Random Intercept,-459.6576813,0.834857631,FALSE
log,identity,sqrt,Random Slope,-466.9661018,0.795130884,TRUE
log,identity,sqrt,Random Slope + Intercept,-472.7529669,0.969755636,TRUE
sqrt,identity,sqrt,Random Intercept,-455.6288938,0.830077478,FALSE
sqrt,identity,sqrt,Random Slope,-464.6455135,0.806508703,TRUE
sqrt,identity,sqrt,Random Slope + Intercept,-470.5378609,0.970012029,TRUE
inv,identity,sqrt,Random Intercept,-469.6620338,0.831554724,FALSE
inv,identity,sqrt,Random Slope,-473.7847137,0.769899489,TRUE
inv,identity,sqrt,Random Slope + Intercept,-479.5411872,0.965071348,TRUE
inv_sqrt,identity,sqrt,Random Intercept,-466.1900385,0.835158523,FALSE
inv_sqrt,identity,sqrt,Random Slope,-471.8339053,0.781742623,TRUE
inv_sqrt,identity,sqrt,Random Slope + Intercept,-477.5893394,0.969410462,FALSE
sq,identity,sqrt,Random Intercept,-435.8944623,0.791993983,FALSE
sq,identity,sqrt,Random Slope,-444.896304,0.971978255,TRUE
sq,identity,sqrt,Random Slope + Intercept,-454.7054901,0.949734447,TRUE
cub,identity,sqrt,Random Intercept,-424.0291253,0.758474323,FALSE
cub,identity,sqrt,Random Slope,-432.1110935,0.984103322,TRUE
cub,identity,sqrt,Random Slope + Intercept,-427.293332,0.989135073,TRUE
identity,log,sqrt,Random Intercept,-455.6857247,0.848744891,FALSE
identity,log,sqrt,Random Slope,-465.2688854,0.827714662,TRUE
identity,log,sqrt,Random Slope + Intercept,-464.7148828,0.861032441,FALSE
log,log,sqrt,Random Intercept,-467.404523,0.862998463,FALSE
log,log,sqrt,Random Slope,-473.667079,0.812209309,TRUE
log,log,sqrt,Random Slope + Intercept,-477.9784175,0.968201342,TRUE
sqrt,log,sqrt,Random Intercept,-463.0603252,0.858090745,FALSE
sqrt,log,sqrt,Random Slope,-471.0118574,0.821177639,TRUE
sqrt,log,sqrt,Random Slope + Intercept,-475.557262,0.967278705,TRUE
inv,log,sqrt,Random Intercept,-477.7020389,0.860057195,FALSE
inv,log,sqrt,Random Slope,-480.9643057,0.791365389,FALSE
inv,log,sqrt,Random Slope + Intercept,-484.9129885,0.969925512,TRUE
inv_sqrt,log,sqrt,Random Intercept,-474.1449849,0.863488383,FALSE
inv_sqrt,log,sqrt,Random Slope,-478.8130829,0.802115106,TRUE
inv_sqrt,log,sqrt,Random Slope + Intercept,-482.9130571,0.969051896,TRUE
sq,log,sqrt,Random Intercept,-442.1670925,0.819447181,FALSE
sq,log,sqrt,Random Slope,-450.3630489,0.943625357,TRUE
sq,log,sqrt,Random Slope + Intercept,-456.6196281,0.944198003,TRUE
cub,log,sqrt,Random Intercept,-429.6948441,0.784300308,FALSE
cub,log,sqrt,Random Slope,-422.9355976,0.999981357,TRUE
cub,log,sqrt,Random Slope + Intercept,-433.6991685,0.983547174,TRUE
identity,sqrt,sqrt,Random Intercept,-453.609628,0.836608962,FALSE
