LDMC_trans,LMA_trans,CHL_trans,Model,AIC,R2,Singular_fit
identity,sqrt,sqrt,Random Slope,-462.7638552,0.799631402,TRUE
identity,sqrt,sqrt,Random Slope + Intercept,-460.8502613,0.822729037,TRUE
log,sqrt,sqrt,Random Intercept,-464.9781541,0.850735233,FALSE
log,sqrt,sqrt,Random Slope,-471.8893105,0.804841348,TRUE
log,sqrt,sqrt,Random Slope + Intercept,-476.9231461,0.969277515,TRUE
sqrt,sqrt,sqrt,Random Intercept,-460.794375,0.845925891,FALSE
sqrt,sqrt,sqrt,Random Slope,-469.4201146,0.815009374,TRUE
sqrt,sqrt,sqrt,Random Slope + Intercept,-474.6618202,0.968938075,FALSE
inv,sqrt,sqrt,Random Intercept,-475.1135184,0.847425492,FALSE
inv,sqrt,sqrt,Random Slope,-478.8935006,0.781830517,TRUE
inv,sqrt,sqrt,Random Slope + Intercept,-483.6679685,0.963416813,FALSE
inv_sqrt,sqrt,sqrt,Random Intercept,-471.6080158,0.851054747,FALSE
inv_sqrt,sqrt,sqrt,Random Slope,-476.8713229,0.793490685,TRUE
inv_sqrt,sqrt,sqrt,Random Slope + Intercept,-481.7639715,0.969309303,TRUE
sq,sqrt,sqrt,Random Intercept,-440.4698415,0.807392448,FALSE
sq,sqrt,sqrt,Random Slope,-449.4539557,0.965727269,TRUE
sq,sqrt,sqrt,Random Slope + Intercept,-447.123466,0.907248211,TRUE
cub,sqrt,sqrt,Random Intercept,-428.2911514,0.772775055,FALSE
cub,sqrt,sqrt,Random Slope,-430.2172987,0.998735678,TRUE
cub,sqrt,sqrt,Random Slope + Intercept,-430.4108418,0.956669381,TRUE
identity,inv,sqrt,Random Intercept,-461.59735,0.861912449,FALSE
identity,inv,sqrt,Random Slope,-469.2273715,0.825641632,FALSE
identity,inv,sqrt,Random Slope + Intercept,-463.2289197,0.849576214,FALSE
log,inv,sqrt,Random Intercept,-473.8930374,0.876623113,FALSE
log,inv,sqrt,Random Slope,-478.5142238,0.819082989,TRUE
log,inv,sqrt,Random Slope + Intercept,-481.2497572,0.963961975,FALSE
sqrt,inv,sqrt,Random Intercept,-469.2689037,0.87134621,FALSE
sqrt,inv,sqrt,Random Slope,-475.4474445,0.826750274,FALSE
sqrt,inv,sqrt,Random Slope + Intercept,-472.1850384,0.872608183,TRUE
inv,inv,sqrt,Random Intercept,-484.5848996,0.875140584,FALSE
inv,inv,sqrt,Random Slope,-486.5980173,0.802305462,FALSE
inv,inv,sqrt,Random Slope + Intercept,-488.9595901,0.968005766,TRUE
inv_sqrt,inv,sqrt,Random Intercept,-480.8660167,0.877751818,FALSE
inv_sqrt,inv,sqrt,Random Slope,-484.0697711,0.811088445,FALSE
inv_sqrt,inv,sqrt,Random Slope + Intercept,-486.6329868,0.966053054,TRUE
sq,inv,sqrt,Random Intercept,-447.53235,0.83293674,FALSE
sq,inv,sqrt,Random Slope,-457.6408102,0.858664993,TRUE
sq,inv,sqrt,Random Slope + Intercept,-450.7059073,0.898479755,TRUE
cub,inv,sqrt,Random Intercept,-434.6486483,0.797922501,FALSE
cub,inv,sqrt,Random Slope,-425.2097151,0.999986693,TRUE
cub,inv,sqrt,Random Slope + Intercept,-428.9511231,0.997610185,TRUE
identity,inv_sqrt,sqrt,Random Intercept,-460.2431104,0.857129983,FALSE
identity,inv_sqrt,sqrt,Random Slope,-468.9297793,0.825984184,TRUE
identity,inv_sqrt,sqrt,Random Slope + Intercept,-463.1898218,0.8367634,FALSE
log,inv_sqrt,sqrt,Random Intercept,-472.2820619,0.87157531,FALSE
log,inv_sqrt,sqrt,Random Slope,-477.7425653,0.817035096,TRUE
log,inv_sqrt,sqrt,Random Slope + Intercept,-475.3274213,0.883019409,TRUE
sqrt,inv_sqrt,sqrt,Random Intercept,-467.7859728,0.866508646,FALSE
sqrt,inv_sqrt,sqrt,Random Slope,-474.8821632,0.824817403,TRUE
sqrt,inv_sqrt,sqrt,Random Slope + Intercept,-471.0714386,0.860414278,TRUE
inv,inv_sqrt,sqrt,Random Intercept,-482.7693155,0.869273955,FALSE
inv,inv_sqrt,sqrt,Random Slope,-485.4114888,0.798308882,TRUE
inv,inv_sqrt,sqrt,Random Slope + Intercept,-488.5490514,0.969289611,TRUE
inv_sqrt,inv_sqrt,sqrt,Random Intercept,-479.140184,0.872346833,FALSE
inv_sqrt,inv_sqrt,sqrt,Random Slope,-483.0859113,0.808020022,TRUE
inv_sqrt,inv_sqrt,sqrt,Random Slope + Intercept,-486.424617,0.967947517,FALSE
sq,inv_sqrt,sqrt,Random Intercept,-446.4047312,0.827946958,FALSE
sq,inv_sqrt,sqrt,Random Slope,-456.0752201,0.94699132,TRUE
sq,inv_sqrt,sqrt,Random Slope + Intercept,-449.8021015,0.876369004,TRUE
cub,inv_sqrt,sqrt,Random Intercept,-433.6892727,0.792711753,FALSE
cub,inv_sqrt,sqrt,Random Slope,-443.5611382,0.809518159,TRUE
cub,inv_sqrt,sqrt,Random Slope + Intercept,-436.0756161,0.966993868,TRUE
identity,sq,sqrt,Random Intercept,-440.313,0.780355121,FALSE
identity,sq,sqrt,Random Slope,-448.2988527,0.757280175,FALSE
identity,sq,sqrt,Random Slope + Intercept,-457.3789476,0.963016137,FALSE
log,sq,sqrt,Random Intercept,-450.7396795,0.794300554,FALSE
log,sq,sqrt,Random Slope,-457.9433024,0.769365886,TRUE
log,sq,sqrt,Random Slope + Intercept,-465.4058141,0.970591173,TRUE
sqrt,sq,sqrt,Random Intercept,-446.9702802,0.789359456,FALSE
sqrt,sq,sqrt,Random Slope,-455.7560609,0.783194641,TRUE
sqrt,sq,sqrt,Random Slope + Intercept,-463.0330857,0.971427838,TRUE
inv,sq,sqrt,Random Intercept,-460.5570809,0.792403485,FALSE
inv,sq,sqrt,Random Slope,-464.7496582,0.740842255,TRUE
inv,sq,sqrt,Random Slope + Intercept,-468.5847807,0.902342053,TRUE
inv_sqrt,sq,sqrt,Random Intercept,-457.1210745,0.795128302,FALSE
inv_sqrt,sq,sqrt,Random Slope,-462.7635983,0.754941471,TRUE
inv_sqrt,sq,sqrt,Random Slope + Intercept,-470.4083125,0.969496674,TRUE
sq,sq,sqrt,Random Intercept,-428.2877858,0.753652144,FALSE
sq,sq,sqrt,Random Slope,-440.4925746,0.865294361,TRUE
sq,sq,sqrt,Random Slope + Intercept,-447.8730874,0.969095286,TRUE
cub,sq,sqrt,Random Intercept,-416.9982929,0.724239153,FALSE
cub,sq,sqrt,Random Slope,-426.5971763,0.942393166,TRUE
cub,sq,sqrt,Random Slope + Intercept,-421.2831485,0.998180553,TRUE
identity,cub,sqrt,Random Intercept,-433.4843163,0.735026766,FALSE
identity,cub,sqrt,Random Slope,-441.7568445,0.712785867,TRUE
identity,cub,sqrt,Random Slope + Intercept,-449.7255746,0.964249849,TRUE
log,cub,sqrt,Random Intercept,-443.5005369,0.748807682,FALSE
log,cub,sqrt,Random Slope,-449.6698103,0.738282255,TRUE
log,cub,sqrt,Random Slope + Intercept,-457.9170638,0.961307633,TRUE
sqrt,cub,sqrt,Random Intercept,-439.9095453,0.74349666,FALSE
sqrt,cub,sqrt,Random Slope,-447.3990096,0.753487562,TRUE
sqrt,cub,sqrt,Random Slope + Intercept,-455.4295132,0.970103718,TRUE
inv,cub,sqrt,Random Intercept,-453.186377,0.749881092,FALSE
inv,cub,sqrt,Random Slope,-456.826229,0.709117441,FALSE
inv,cub,sqrt,Random Slope + Intercept,-461.902069,0.906749453,TRUE
inv_sqrt,cub,sqrt,Random Intercept,-449.7776325,0.750801114,FALSE
inv_sqrt,cub,sqrt,Random Slope,-454.6412881,0.723178502,FALSE
inv_sqrt,cub,sqrt,Random Slope + Intercept,-459.8305167,0.914645815,TRUE
sq,cub,sqrt,Random Intercept,-421.9623311,0.712042726,FALSE
sq,cub,sqrt,Random Slope,-432.4401796,0.802182516,TRUE
sq,cub,sqrt,Random Slope + Intercept,-438.5860571,0.988819813,TRUE
cub,cub,sqrt,Random Intercept,-411.0812305,0.688586256,FALSE
cub,cub,sqrt,Random Slope,-411.823307,0.999115055,TRUE
cub,cub,sqrt,Random Slope + Intercept,-418.4393956,0.999183476,TRUE
identity,identity,inv,Random Intercept,-446.1954152,0.769940866,FALSE
identity,identity,inv,Random Slope,-458.7349953,0.738955986,TRUE
identity,identity,inv,Random Slope + Intercept,-464.0627008,0.934004072,FALSE
log,identity,inv,Random Intercept,-456.5615803,0.779333988,FALSE
log,identity,inv,Random Slope,-465.404643,0.753475764,TRUE
log,identity,inv,Random Slope + Intercept,-472.9133616,0.969420501,TRUE
sqrt,identity,inv,Random Intercept,-452.8775205,0.777637736,FALSE
sqrt,identity,inv,Random Slope,-463.7087532,0.766038914,TRUE
sqrt,identity,inv,Random Slope + Intercept,-470.9833824,0.96948021,TRUE
inv,identity,inv,Random Intercept,-465.9597159,0.76636015,FALSE
inv,identity,inv,Random Slope,-471.2792489,0.713749127,FALSE
inv,identity,inv,Random Slope + Intercept,-479.0453456,0.948767122,TRUE
inv_sqrt,identity,inv,Random Intercept,-462.7624414,0.775239965,FALSE
inv_sqrt,identity,inv,Random Slope,-469.7384225,0.733754223,TRUE
inv_sqrt,identity,inv,Random Slope + Intercept,-477.5577302,0.969195336,TRUE
sq,identity,inv,Random Intercept,-433.8580364,0.739969045,FALSE
sq,identity,inv,Random Slope,-449.9035676,0.810099194,TRUE
sq,identity,inv,Random Slope + Intercept,-445.9783113,0.926049878,TRUE
cub,identity,inv,Random Intercept,-422.1227051,0.7013634,FALSE
cub,identity,inv,Random Slope,-423.7499081,0.999961674,TRUE
cub,identity,inv,Random Slope + Intercept,-431.7110003,0.957945626,TRUE
identity,log,inv,Random Intercept,-453.9182359,0.814481212,FALSE
identity,log,inv,Random Slope,-465.8914086,0.766067308,TRUE
identity,log,inv,Random Slope + Intercept,-465.5275681,0.851283321,TRUE
log,log,inv,Random Intercept,-464.8432335,0.825166564,FALSE
log,log,inv,Random Slope,-473.1663709,0.772754166,TRUE
log,log,inv,Random Slope + Intercept,-474.639246,0.928832403,TRUE
sqrt,log,inv,Random Intercept,-460.9332591,0.822803007,FALSE
sqrt,log,inv,Random Slope,-471.1787281,0.785353109,TRUE
sqrt,log,inv,Random Slope + Intercept,-476.1276169,0.965830353,TRUE
inv,log,inv,Random Intercept,-474.2796738,0.813118066,FALSE
inv,log,inv,Random Slope,-479.2757204,0.741795065,FALSE
inv,log,inv,Random Slope + Intercept,-484.3963651,0.963618838,FALSE
inv_sqrt,log,inv,Random Intercept,-471.1315776,0.821685083,FALSE
inv_sqrt,log,inv,Random Slope,-477.6796586,0.758808495,TRUE
inv_sqrt,log,inv,Random Slope + Intercept,-482.6724677,0.967847441,TRUE
sq,log,inv,Random Intercept,-440.79773,0.782922474,FALSE
sq,log,inv,Random Slope,-456.0417975,0.847972706,TRUE
sq,log,inv,Random Slope + Intercept,-451.7301013,0.922960128,TRUE
cub,log,inv,Random Intercept,-428.3780955,0.741166233,FALSE
cub,log,inv,Random Slope,-428.0480447,0.999973196,TRUE
cub,log,inv,Random Slope + Intercept,-432.666603,0.99687414,TRUE
identity,sqrt,inv,Random Intercept,-451.4543975,0.794907748,FALSE
identity,sqrt,inv,Random Slope,-463.9027716,0.75217044,TRUE
identity,sqrt,inv,Random Slope + Intercept,-461.6492364,0.810000082,FALSE
log,sqrt,inv,Random Intercept,-462.0848954,0.804942007,FALSE
log,sqrt,inv,Random Slope,-470.8490892,0.765784319,TRUE
log,sqrt,inv,Random Slope + Intercept,-475.0929326,0.949883594,TRUE
sqrt,sqrt,inv,Random Intercept,-458.2969346,0.802960905,FALSE
sqrt,sqrt,inv,Random Slope,-469.0441476,0.781851785,TRUE
sqrt,sqrt,inv,Random Slope + Intercept,-475.0977893,0.967837456,FALSE
inv,sqrt,inv,Random Intercept,-471.4815686,0.792059528,FALSE
inv,sqrt,inv,Random Slope,-476.757126,0.729299189,TRUE
inv,sqrt,inv,Random Slope + Intercept,-481.7418373,0.924464252,TRUE
inv_sqrt,sqrt,inv,Random Intercept,-468.318913,0.80101146,FALSE
inv_sqrt,sqrt,inv,Random Slope,-475.2310301,0.74794444,TRUE
inv_sqrt,sqrt,inv,Random Slope + Intercept,-481.5658414,0.96877423,TRUE
sq,sqrt,inv,Random Intercept,-438.7286086,0.763808476,FALSE
sq,sqrt,inv,Random Slope,-454.7324465,0.806437115,TRUE
sq,sqrt,inv,Random Slope + Intercept,-448.8286298,0.854467032,TRUE
cub,sqrt,inv,Random Intercept,-426.6489004,0.72309351,FALSE
cub,sqrt,inv,Random Slope,-432.4267537,0.999647234,TRUE
cub,sqrt,inv,Random Slope + Intercept,-430.8266336,0.996917211,TRUE
identity,inv,inv,Random Intercept,-460.7220072,0.837201265,FALSE
identity,inv,inv,Random Slope,-470.9872072,0.814639469,FALSE
identity,inv,inv,Random Slope + Intercept,-465.6169704,0.830234153,FALSE
log,inv,inv,Random Intercept,-472.2097719,0.849159895,FALSE
log,inv,inv,Random Slope,-478.9857579,0.782612477,TRUE
log,inv,inv,Random Slope + Intercept,-481.7622836,0.961459143,TRUE
sqrt,inv,inv,Random Intercept,-468.044748,0.84591944,FALSE
sqrt,inv,inv,Random Slope,-476.5240075,0.793612681,TRUE
sqrt,inv,inv,Random Slope + Intercept,-479.3267612,0.958711323,TRUE
inv,inv,inv,Random Intercept,-481.8800532,0.839901555,FALSE
inv,inv,inv,Random Slope,-485.873247,0.75654015,TRUE
inv,inv,inv,Random Slope + Intercept,-488.5713342,0.966224421,TRUE
inv_sqrt,inv,inv,Random Intercept,-478.6666419,0.846971453,FALSE
inv_sqrt,inv,inv,Random Slope,-483.9298275,0.770241698,FALSE
inv_sqrt,inv,inv,Random Slope + Intercept,-486.6530107,0.963816232,TRUE
sq,inv,inv,Random Intercept,-446.9689753,0.805814892,FALSE
sq,inv,inv,Random Slope,-460.288846,0.818062562,TRUE
sq,inv,inv,Random Slope + Intercept,-454.374147,0.883084263,FALSE
cub,inv,inv,Random Intercept,-434.0293327,0.764111938,FALSE
cub,inv,inv,Random Slope,-437.3165766,0.99937232,TRUE
cub,inv,inv,Random Slope + Intercept,-436.6145268,0.992770148,TRUE
identity,inv_sqrt,inv,Random Intercept,-458.9196794,0.828478435,FALSE
identity,inv_sqrt,inv,Random Slope,-470.1114085,0.778536928,FALSE
identity,inv_sqrt,inv,Random Slope + Intercept,-464.4854744,0.842310661,FALSE
log,inv_sqrt,inv,Random Intercept,-470.1417293,0.839805554,FALSE
log,inv_sqrt,inv,Random Slope,-477.7558761,0.78042917,TRUE
log,inv_sqrt,inv,Random Slope + Intercept,-481.5805739,0.964492381,TRUE
sqrt,inv_sqrt,inv,Random Intercept,-466.1013422,0.837011291,FALSE
sqrt,inv_sqrt,inv,Random Slope,-475.541174,0.792808775,TRUE
sqrt,inv_sqrt,inv,Random Slope + Intercept,-471.694628,0.835049127,TRUE
inv,inv_sqrt,inv,Random Intercept,-479.6700179,0.829047093,FALSE
inv,inv_sqrt,inv,Random Slope,-484.2065739,0.751114558,FALSE
inv,inv_sqrt,inv,Random Slope + Intercept,-488.0595003,0.96771601,TRUE
inv_sqrt,inv_sqrt,inv,Random Intercept,-476.5062289,0.836937088,FALSE
inv_sqrt,inv_sqrt,inv,Random Slope,-482.464783,0.766221084,FALSE
inv_sqrt,inv_sqrt,inv,Random Slope + Intercept,-486.2663953,0.966306644,TRUE
sq,inv_sqrt,inv,Random Intercept,-445.4427336,0.796894954,FALSE
sq,inv_sqrt,inv,Random Slope,-459.9518992,0.818469789,TRUE
sq,inv_sqrt,inv,Random Slope + Intercept,-450.2076936,0.940274527,TRUE
cub,inv_sqrt,inv,Random Intercept,-432.7254326,0.75490345,FALSE
cub,inv_sqrt,inv,Random Slope,-434.0025614,0.999881867,TRUE
cub,inv_sqrt,inv,Random Slope + Intercept,-435.1291805,0.994582301,TRUE
identity,sq,inv,Random Intercept,-437.6931307,0.708357447,FALSE
identity,sq,inv,Random Slope,-448.9275275,0.699021991,TRUE
identity,sq,inv,Random Slope + Intercept,-457.5155429,0.956573226,FALSE
log,sq,inv,Random Intercept,-447.6713125,0.716645565,FALSE
log,sq,inv,Random Slope,-455.5903414,0.720546249,TRUE
log,sq,inv,Random Slope + Intercept,-466.1489606,0.9707763,TRUE
sqrt,sq,inv,Random Intercept,-444.1307191,0.715042432,FALSE
sqrt,sq,inv,Random Slope,-453.8617558,0.742137224,TRUE
sqrt,sq,inv,Random Slope + Intercept,-463.997414,0.971769175,TRUE
inv,sq,inv,Random Intercept,-457.1263364,0.706404191,FALSE
inv,sq,inv,Random Slope,-461.8664597,0.676842344,FALSE
inv,sq,inv,Random Slope + Intercept,-472.8370162,0.963503923,FALSE
inv_sqrt,sq,inv,Random Intercept,-453.8470472,0.713421568,FALSE
inv_sqrt,sq,inv,Random Slope,-460.0786419,0.698349134,FALSE
inv_sqrt,sq,inv,Random Slope + Intercept,-470.111074,0.937455228,TRUE
sq,sq,inv,Random Intercept,-425.986504,0.68311187,FALSE
sq,sq,inv,Random Slope,-440.6717408,0.793177957,TRUE
sq,sq,inv,Random Slope + Intercept,-448.2092252,0.968399789,TRUE
cub,sq,inv,Random Intercept,-414.8322659,0.652117851,FALSE
cub,sq,inv,Random Slope,-423.2699074,0.997825862,TRUE
cub,sq,inv,Random Slope + Intercept,-417.3927231,0.999665823,TRUE
identity,cub,inv,Random Intercept,-431.1474543,0.645059774,FALSE
identity,cub,inv,Random Slope,-439.8190371,0.651030947,TRUE
identity,cub,inv,Random Slope + Intercept,-451.3634729,0.961681761,TRUE
log,cub,inv,Random Intercept,-440.9095378,0.652609936,FALSE
log,cub,inv,Random Slope,-447.0498195,0.681532587,TRUE
log,cub,inv,Random Slope + Intercept,-458.3158099,0.938634309,TRUE
sqrt,cub,inv,Random Intercept,-437.4462112,0.650515405,FALSE
sqrt,cub,inv,Random Slope,-445.022293,0.70422781,TRUE
sqrt,cub,inv,Random Slope + Intercept,-457.0549479,0.966717573,TRUE
inv,cub,inv,Random Intercept,-450.4068249,0.647902657,FALSE
inv,cub,inv,Random Slope,-454.0678884,0.636336195,FALSE
inv,cub,inv,Random Slope + Intercept,-461.8251595,0.889800422,TRUE
inv_sqrt,cub,inv,Random Intercept,-447.0765431,0.651495796,FALSE
inv_sqrt,cub,inv,Random Slope,-451.8978648,0.659505888,TRUE
inv_sqrt,cub,inv,Random Slope + Intercept,-459.347583,0.900777976,TRUE
sq,cub,inv,Random Intercept,-419.815259,0.626712118,FALSE
sq,cub,inv,Random Slope,-431.5357597,0.750353705,TRUE
sq,cub,inv,Random Slope + Intercept,-440.1706577,0.972721528,TRUE
cub,cub,inv,Random Intercept,-409.0180291,0.605708076,FALSE
cub,cub,inv,Random Slope,-403.7047662,0.999987922,TRUE
cub,cub,inv,Random Slope + Intercept,-417.3077476,0.999322214,TRUE
identity,identity,inv_sqrt,Random Intercept,-451.1724617,0.796548782,FALSE
identity,identity,inv_sqrt,Random Slope,-463.4175356,0.777374399,TRUE
identity,identity,inv_sqrt,Random Slope + Intercept,-470.1384746,0.962508714,TRUE
log,identity,inv_sqrt,Random Intercept,-461.8060616,0.80802244,FALSE
log,identity,inv_sqrt,Random Slope,-470.3681318,0.776509561,TRUE
log,identity,inv_sqrt,Random Slope + Intercept,-477.3374755,0.969994972,TRUE
sqrt,identity,inv_sqrt,Random Intercept,-457.9840456,0.804877065,FALSE
sqrt,identity,inv_sqrt,Random Slope,-468.4606717,0.791327422,TRUE
sqrt,identity,inv_sqrt,Random Slope + Intercept,-475.3208828,0.970081917,TRUE
inv,identity,inv_sqrt,Random Intercept,-471.4306155,0.79984642,FALSE
inv,identity,inv_sqrt,Random Slope,-476.5185396,0.743911154,FALSE
inv,identity,inv_sqrt,Random Slope + Intercept,-481.7999685,0.918499565,FALSE
inv_sqrt,identity,inv_sqrt,Random Intercept,-468.1338513,0.806087367,FALSE
inv_sqrt,identity,inv_sqrt,Random Slope,-474.8680638,0.760430048,TRUE
inv_sqrt,identity,inv_sqrt,Random Slope + Intercept,-481.9095272,0.959766113,TRUE
sq,identity,inv_sqrt,Random Intercept,-438.6533458,0.76760888,FALSE
sq,identity,inv_sqrt,Random Slope,-453.6836838,0.862549647,TRUE
sq,identity,inv_sqrt,Random Slope + Intercept,-451.5769481,0.926032082,TRUE
cub,identity,inv_sqrt,Random Intercept,-426.8447304,0.73204979,FALSE
cub,identity,inv_sqrt,Random Slope,-428.6185513,0.999904025,TRUE
cub,identity,inv_sqrt,Random Slope + Intercept,-417.7671021,0.999999274,FALSE
identity,log,inv_sqrt,Random Intercept,-458.8035909,0.832980759,FALSE
identity,log,inv_sqrt,Random Slope,-470.2061095,0.805054756,TRUE
identity,log,inv_sqrt,Random Slope + Intercept,-473.6309919,0.919998819,FALSE
log,log,inv_sqrt,Random Intercept,-470.0797244,0.845232497,FALSE
log,log,inv_sqrt,Random Slope,-477.8279112,0.795305803,TRUE
log,log,inv_sqrt,Random Slope + Intercept,-479.4682597,0.933895563,TRUE
sqrt,log,inv_sqrt,Random Intercept,-465.9817263,0.841672701,FALSE
sqrt,log,inv_sqrt,Random Slope,-475.5801641,0.806865553,TRUE
sqrt,log,inv_sqrt,Random Slope + Intercept,-479.2510013,0.963456715,FALSE
inv,log,inv_sqrt,Random Intercept,-479.8666625,0.837771778,FALSE
inv,log,inv_sqrt,Random Slope,-484.3663697,0.766829627,FALSE
inv,log,inv_sqrt,Random Slope + Intercept,-489.1812379,0.965083837,TRUE
inv_sqrt,log,inv_sqrt,Random Intercept,-476.555888,0.843725839,FALSE
inv_sqrt,log,inv_sqrt,Random Slope,-482.576783,0.782426065,TRUE
inv_sqrt,log,inv_sqrt,Random Slope + Intercept,-487.3702234,0.968798136,TRUE
sq,log,inv_sqrt,Random Intercept,-445.482574,0.80299901,FALSE
sq,log,inv_sqrt,Random Slope,-459.834587,0.838797341,TRUE
sq,log,inv_sqrt,Random Slope + Intercept,-455.2534322,0.939530249,TRUE
cub,log,inv_sqrt,Random Intercept,-433.0088626,0.765081122,FALSE
cub,log,inv_sqrt,Random Slope,-439.11878,0.998304524,TRUE
cub,log,inv_sqrt,Random Slope + Intercept,-439.4725438,0.981975877,TRUE
identity,sqrt,inv_sqrt,Random Intercept,-456.4185934,0.817092372,FALSE
identity,sqrt,inv_sqrt,Random Slope,-466.7348567,0.768611901,TRUE
identity,sqrt,inv_sqrt,Random Slope + Intercept,-470.1976329,0.885601213,FALSE
log,sqrt,inv_sqrt,Random Intercept,-467.3638331,0.828943272,FALSE
log,sqrt,inv_sqrt,Random Slope,-475.6839088,0.787400198,TRUE
log,sqrt,inv_sqrt,Random Slope + Intercept,-479.8683336,0.952742828,TRUE
sqrt,sqrt,inv_sqrt,Random Intercept,-463.41055,0.825630363,FALSE
sqrt,sqrt,inv_sqrt,Random Slope,-473.6351372,0.800522735,TRUE
sqrt,sqrt,inv_sqrt,Random Slope + Intercept,-479.5090982,0.968814304,TRUE
inv,sqrt,inv_sqrt,Random Intercept,-477.0494746,0.82085444,FALSE
inv,sqrt,inv_sqrt,Random Slope,-475.0347167,0.731247074,FALSE
inv,sqrt,inv_sqrt,Random Slope + Intercept,-487.9977524,0.965712356,TRUE
inv_sqrt,sqrt,inv_sqrt,Random Intercept,-473.7562262,0.827116933,FALSE
inv_sqrt,sqrt,inv_sqrt,Random Slope,-480.2724318,0.77279897,TRUE
inv_sqrt,sqrt,inv_sqrt,Random Slope + Intercept,-486.1879399,0.969579828,TRUE
sq,sqrt,inv_sqrt,Random Intercept,-443.4954157,0.787387171,FALSE
sq,sqrt,inv_sqrt,Random Slope,-458.3720042,0.855195276,TRUE
sq,sqrt,inv_sqrt,Random Slope + Intercept,-453.4188343,0.866359272,TRUE
cub,sqrt,inv_sqrt,Random Intercept,-431.3475576,0.750243112,FALSE
cub,sqrt,inv_sqrt,Random Slope,-432.7522822,0.999892189,TRUE
cub,sqrt,inv_sqrt,Random Slope + Intercept,-435.8626594,0.986412669,TRUE
identity,inv,inv_sqrt,Random Intercept,-465.3019625,0.850745973,FALSE
identity,inv,inv_sqrt,Random Slope,-474.7080558,0.821753616,FALSE
identity,inv,inv_sqrt,Random Slope + Intercept,-470.1830995,0.832893402,TRUE
log,inv,inv_sqrt,Random Intercept,-477.1654271,0.863886108,FALSE
log,inv,inv_sqrt,Random Slope,-483.2313165,0.802213537,TRUE
log,inv,inv_sqrt,Random Slope + Intercept,-486.1587102,0.962576576,FALSE
sqrt,inv,inv_sqrt,Random Intercept,-472.7911413,0.85969426,FALSE
sqrt,inv,inv_sqrt,Random Slope,-480.5098069,0.81109873,TRUE
sqrt,inv,inv_sqrt,Random Slope + Intercept,-477.2009705,0.864037554,TRUE
inv,inv,inv_sqrt,Random Intercept,-487.2785112,0.858564323,FALSE
inv,inv,inv_sqrt,Random Slope,-490.612396,0.781063108,TRUE
inv,inv,inv_sqrt,Random Slope + Intercept,-493.3514603,0.967477823,TRUE
inv_sqrt,inv,inv_sqrt,Random Intercept,-483.8494674,0.863351169,FALSE
inv_sqrt,inv,inv_sqrt,Random Slope,-488.4319639,0.791910756,TRUE
inv_sqrt,inv,inv_sqrt,Random Slope + Intercept,-491.2528361,0.963169045,TRUE
sq,inv,inv_sqrt,Random Intercept,-451.3780746,0.820976279,FALSE
sq,inv,inv_sqrt,Random Slope,-459.7530498,0.982116088,TRUE
sq,inv,inv_sqrt,Random Slope + Intercept,-457.2415407,0.905673432,TRUE
cub,inv,inv_sqrt,Random Intercept,-438.4307899,0.78314277,FALSE
cub,inv,inv_sqrt,Random Slope,-438.9940225,0.999541024,TRUE
cub,inv,inv_sqrt,Random Slope + Intercept,-440.6705755,0.884484698,TRUE
identity,inv_sqrt,inv_sqrt,Random Intercept,-463.6708393,0.844114956,FALSE
identity,inv_sqrt,inv_sqrt,Random Slope,-472.2625678,0.81138038,TRUE
identity,inv_sqrt,inv_sqrt,Random Slope + Intercept,-468.4016429,0.84031627,TRUE
log,inv_sqrt,inv_sqrt,Random Intercept,-475.264948,0.856794457,FALSE
log,inv_sqrt,inv_sqrt,Random Slope,-482.2156121,0.800238031,TRUE
log,inv_sqrt,inv_sqrt,Random Slope + Intercept,-486.0756204,0.961808543,TRUE
sqrt,inv_sqrt,inv_sqrt,Random Intercept,-471.0213615,0.85293524,FALSE
