SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,GPS,GPS,GPS,GPS,GPS,GPS,GPS,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,unique_id,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,degrees,degrees,degrees,degrees,%,degrees,degrees,degrees,degrees,degrees,HHMMSS,YYYYMMDD,degrees,degrees,m,,,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,14:14:14,2024-05-13,DURIN config,Nicole Bison,,24837,,,0.038214,2.916898,0.037720,0.491007,1.334998,1.321181,2.621029,1.286031,13.110565,13.247679,26.009438,0.441786,PSF-00189_20240513141414,0.000000,0.000000,0.000000,89.564323,413.693909,0.783501,0.5,0.80,15.039818,51.32,50.79,21.67,21.80,100.77,156.1,149.9,4.0,48,3.614,-6,178,275,,,173.68,-103.47,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:13:21,2024-05-13,-0.74,-0.003,-0.003,-9999.000,0.231,0.082,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.448065,2.513618,1.650784,0.915562,0.311539,0.002848,0.069449,0.147691,89.564323,0.000458,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513141414,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
2,14:16:29,2024-05-13,DURIN config,Nicole Bison,,26289,,,0.016233,2.917921,0.016143,0.230188,1.340175,1.333704,2.747788,1.407614,13.236539,13.300763,27.270832,0.441786,PSF-00189_20240513141629,0.000000,0.000000,0.000000,84.652664,369.364868,0.770816,0.5,0.80,19.102489,50.15,49.91,22.11,22.57,100.76,156.2,153.4,1.8,62,3.612,8,-179,86,,,171.94,-101.15,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:13:21,2024-05-13,-0.74,-0.001,-0.004,-9999.000,-0.213,-0.290,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.446770,2.511814,1.651857,0.924237,0.306077,0.006706,0.087068,0.159417,84.652664,0.000455,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513141629,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
3,14:18:27,2024-05-13,DURIN config,Nicole Bison,,24543,,,0.011516,2.917742,0.011470,0.166373,1.366486,1.361809,2.797935,1.431449,13.513960,13.560374,27.765415,0.441786,PSF-00189_20240513141827,0.000000,0.000000,0.000000,96.452950,419.487122,0.770069,0.5,0.80,16.191807,49.91,49.74,22.51,22.87,100.77,156.2,155.4,0.5,53,3.576,1,177,83,,,176.84,-25.42,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:13:21,2024-05-13,-0.74,-0.001,-0.003,-0.021,-0.072,0.026,-0.144,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.446449,2.511367,1.651669,0.929544,0.301230,0.005545,0.101461,0.151534,96.452950,0.000441,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513141827,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
4,14:20:02,2024-05-13,DURIN config,Nicole Bison,,26642,,,0.011527,2.915873,0.011482,0.164935,1.395887,1.391245,2.813049,1.417163,13.807685,13.853752,27.918659,0.441786,PSF-00189_20240513142002,0.000000,0.000000,0.000000,86.128593,412.162170,0.791032,0.5,0.80,17.898687,50.05,49.88,22.82,22.96,100.76,156.0,151.0,3.2,57,3.609,4,-178,262,,,175.53,55.41,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:13:21,2024-05-13,-0.74,-0.002,-0.003,-0.025,0.139,0.135,0.048,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.446566,2.511487,1.649712,0.918329,0.297558,0.003015,0.112709,0.154893,86.128593,0.000451,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513142002,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
5,14:22:01,2024-05-13,DURIN config,Nicole Bison,,27480,,,0.030254,2.916134,0.029943,0.412454,1.423031,1.411428,2.782096,1.359065,14.006709,14.121854,27.608919,0.441786,PSF-00189_20240513142201,0.000000,0.000000,0.000000,85.225937,402.238007,0.788121,0.5,0.80,16.174557,49.93,49.52,23.18,22.78,100.77,156.0,151.2,3.1,51,3.605,9,177,269,,,170.52,107.52,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:13:21,2024-05-13,-0.74,-0.001,-0.003,-9999.000,0.053,0.127,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.445991,2.511219,1.649985,0.918861,0.293314,-0.003289,0.126225,0.150477,85.225937,0.000455,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513142201,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
6,14:24:15,2024-05-13,DURIN config,Nicole Bison,,26824,,,0.019506,2.918190,0.019377,0.270048,1.488456,1.480876,2.862653,1.374197,14.694582,14.769800,28.405817,0.441786,PSF-00189_20240513142415,0.000000,0.000000,0.000000,98.488213,391.042816,0.748140,0.5,0.80,13.376707,51.04,50.78,23.56,23.25,100.78,156.3,154.6,1.1,45,3.601,0,179,25,,,179.00,-65.00,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:24:04,2024-05-13,-0.68,-0.000,0.001,-9999.000,0.026,0.049,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.447603,2.512640,1.652140,0.927327,0.288896,-0.002243,0.140948,0.144929,98.488213,0.000440,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513142415,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
7,14:26:08,2024-05-13,DURIN config,Nicole Bison,,25724,,,0.041193,2.917557,0.040620,0.516481,1.527836,1.513335,2.781912,1.254076,15.015633,15.159507,27.602713,0.441786,PSF-00189_20240513142608,0.000000,0.000000,0.000000,97.776886,398.457184,0.754611,0.5,0.80,15.478874,51.41,50.92,23.87,22.78,100.78,156.2,154.2,1.3,51,3.605,6,179,337,,,173.92,166.48,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:24:04,2024-05-13,-0.68,-0.001,-0.001,-9999.000,0.112,0.149,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.447723,2.513098,1.651475,0.926412,0.285302,-0.011399,0.152969,0.150455,97.776886,0.000456,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513142608,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
8,14:27:57,2024-05-13,DURIN config,Nicole Bison,,23461,,,0.558101,2.917657,0.468487,4.855626,1.693031,1.556948,2.714758,1.021727,15.448445,16.798695,26.936531,0.441786,PSF-00189_20240513142757,0.000000,0.000000,0.000000,85.914375,379.584442,0.773662,0.5,0.80,18.465427,56.19,51.67,24.10,22.37,100.78,156.2,156.0,0.1,60,3.603,9,-176,84,,,170.16,-120.08,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:24:04,2024-05-13,-0.68,0.001,0.003,0.013,0.087,0.242,0.385,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.448680,2.519893,1.651579,0.931044,0.282705,-0.018729,0.164183,0.157497,85.914375,0.000462,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513142757,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
9,14:29:58,2024-05-13,DURIN config,Nicole Bison,,24159,,,0.397606,2.917433,0.349917,3.958200,1.709344,1.598417,2.823682,1.114338,15.860855,16.961561,28.018970,0.441786,PSF-00189_20240513142958,0.000000,0.000000,0.000000,96.269135,391.450867,0.754071,0.5,0.80,17.633593,56.00,52.37,24.32,23.02,100.78,156.2,156.0,0.1,58,3.569,6,179,78,,,173.92,-92.52,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:24:04,2024-05-13,-0.68,-0.002,-0.001,-9999.000,0.059,0.030,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.449562,2.519570,1.651345,0.930850,0.280283,-0.013764,0.176314,0.156483,96.269135,0.000453,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513142958,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
10,14:31:37,2024-05-13,DURIN config,Nicole Bison,,27375,,,0.370910,2.916006,0.329055,4.172160,1.714220,1.597171,2.962361,1.248141,15.848367,17.009817,29.394840,0.441786,PSF-00189_20240513143137,0.000000,0.000000,0.000000,82.335594,377.450470,0.781864,0.5,0.80,20.226339,55.57,51.77,24.49,23.82,100.78,156.0,152.3,2.4,65,3.569,7,-176,87,,,171.94,-122.85,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:24:04,2024-05-13,-0.68,0.001,0.003,-9999.000,-0.025,0.064,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.448717,2.518898,1.649851,0.921506,0.278288,-0.006617,0.185922,0.161699,82.335594,0.000441,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513143137,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
11,14:33:39,2024-05-13,DURIN config,Nicole Bison,,39493,,,0.300367,2.917209,0.272327,3.727506,1.699757,1.595255,3.046840,1.347082,15.827589,16.864428,30.229734,0.441786,PSF-00189_20240513143339,0.000000,0.000000,0.000000,92.402458,411.041382,0.775199,0.5,0.80,19.038624,54.42,51.07,24.70,24.29,100.79,156.1,155.3,0.5,61,3.601,5,-178,86,,,174.62,-115.83,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:24:04,2024-05-13,-0.68,-0.002,-0.002,-9999.000,0.139,-0.009,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.447728,2.517203,1.651110,0.929173,0.275990,-0.003581,0.197594,0.158950,92.402458,0.000449,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513143339,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
12,14:35:15,2024-05-13,DURIN config,Nicole Bison,,33900,,,0.222121,2.917430,0.206406,2.678926,1.669611,1.594494,2.947830,1.278219,15.819489,16.564753,29.246378,0.441786,PSF-00189_20240513143515,0.000000,0.000000,0.000000,122.792961,399.090881,0.692318,0.5,0.80,15.252701,52.95,50.57,24.86,23.74,100.79,156.2,149.2,4.5,55,3.599,-4,-176,75,,,174.35,120.07,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:24:04,2024-05-13,-0.68,-0.001,-0.003,-9999.000,1.360,2.533,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.447021,2.515069,1.651341,0.913687,0.274272,-0.011871,0.206490,0.153643,122.792961,0.000452,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513143515,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
13,14:36:56,2024-05-13,DURIN config,Nicole Bison,,35802,,,0.151110,2.916884,0.143667,1.997989,1.629650,1.573582,2.999124,1.369475,15.612831,16.169125,29.756832,0.441786,PSF-00189_20240513143656,0.000000,0.000000,0.000000,122.610924,439.599762,0.721085,0.5,0.80,18.449345,51.14,49.38,25.04,24.02,100.79,156.1,154.5,1.0,64,3.599,7,-178,81,,,172.72,-114.99,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:35:29,2024-05-13,-0.64,0.001,0.000,-9999.000,-5.380,-2.212,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.445381,2.512364,1.650770,0.927166,0.272342,-0.010611,0.215723,0.161103,122.610924,0.000459,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513143656,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
14,14:38:49,2024-05-13,DURIN config,Nicole Bison,,28762,,,0.113673,2.918459,0.109412,1.517796,1.602502,1.559950,2.968978,1.366476,15.477307,15.899494,29.457214,0.441786,PSF-00189_20240513143849,0.000000,0.000000,0.000000,171.488647,487.335907,0.648110,0.5,0.80,13.200415,49.87,48.55,25.18,23.85,100.79,156.3,155.3,0.6,51,3.598,-7,179,277,,,172.93,-91.15,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:35:29,2024-05-13,-0.64,-0.001,-0.003,-9999.000,-8.052,-8.842,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.444219,2.510495,1.652421,0.929215,0.270815,-0.014246,0.225762,0.150151,171.488647,0.000419,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513143849,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
15,14:40:39,2024-05-13,DURIN config,Nicole Bison,,26204,,,0.139650,2.918394,0.133272,1.759256,1.611041,1.561724,2.911600,1.300559,15.495595,15.984928,28.889215,0.441786,PSF-00189_20240513144039,0.000000,0.000000,0.000000,87.164642,433.023346,0.798707,0.5,0.80,22.355650,49.75,48.22,25.31,23.53,100.79,156.3,146.4,6.4,70,3.597,7,179,29,,,172.93,-142.85,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:35:29,2024-05-13,-0.64,-0.002,-0.003,-9999.000,0.013,0.105,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.443750,2.510280,1.652353,0.906590,0.269395,-0.019588,0.235230,0.166150,87.164642,0.000456,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513144039,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
16,14:42:41,2024-05-13,DURIN config,Nicole Bison,,32196,,,0.026256,2.917806,0.026021,0.427009,1.523342,1.511357,3.138838,1.615496,14.996927,15.115859,31.146143,0.441786,PSF-00189_20240513144241,0.000000,0.000000,0.000000,103.776459,444.590454,0.766580,0.5,0.80,18.551340,46.72,46.35,25.42,24.78,100.78,156.2,146.4,6.3,61,3.597,-1,179,70,,,178.59,25.00,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:35:29,2024-05-13,-0.64,0.001,0.002,-9999.000,-0.531,-1.183,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.441185,2.505863,1.651736,0.906818,0.268161,-0.006281,0.245585,0.158195,103.776459,0.000429,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513144241,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
17,14:50:35,2024-05-13,DURIN config,Nicole Bison,,22612,,,0.136602,2.916791,0.130491,1.830938,1.505904,1.454461,2.889108,1.383204,14.432259,14.942714,28.667904,0.441786,PSF-00189_20240513145035,0.000000,0.000000,0.000000,91.788773,412.685394,0.777582,0.5,0.80,20.670021,45.38,43.83,25.72,23.40,100.78,156.1,144.4,7.5,66,3.593,0,176,90,,,176.00,0.00,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:35:29,2024-05-13,-0.64,-0.000,-0.000,0.008,-0.302,-0.721,-2.165,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.437685,2.503846,1.650673,0.901807,0.265028,-0.025948,0.283634,0.163196,91.788773,0.000438,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513145035,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
18,14:53:51,2024-05-13,DURIN config,Nicole Bison,,22702,,,0.017584,2.918306,0.017478,0.330765,1.464477,1.455190,3.326487,1.862009,14.438204,14.530348,33.004951,0.441786,PSF-00189_20240513145351,0.000000,0.000000,0.000000,92.898849,412.789459,0.774949,0.5,0.80,16.456938,43.91,43.64,25.80,25.76,100.79,156.3,155.5,0.5,53,3.766,-12,-178,57,,,167.84,66.53,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:50:50,2024-05-13,-0.49,0.002,0.002,-9999.000,0.132,0.275,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.437400,2.501473,1.652261,0.929744,0.264148,0.000778,0.298597,0.151974,92.898849,0.000526,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513145351,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
